cpf,matricula,sobrenome,nome,email,data_de_ingresso
432.870.428-99, 201605484, Farley, Timothy, timothy.farley@jujubinha.com.br, Wed Nov 30 22:41:17 2016
175.889.510-10, 201695445, Kubota, James, james.kubota@jujubinha.com.br, Sun Mar 13 18:50:45 2016
070.384.488-37, 200859059, Martinez, Catherine, catherine.martinez@jujubinha.com.br, Sun May 25 02:22:46 2008
691.721.981-09, 201015749, Moss, Enrique, enrique.moss@jujubinha.com.br, Tue Jul  6 03:28:10 2010
200.796.288-73, 201591778, Hurt, Catharine, catharine.hurt@jujubinha.com.br, Thu May  7 10:11:46 2015
764.731.025-49, 200973319, Booth, Lauren, lauren.booth@jujubinha.com.br, Thu Dec 24 17:32:40 2009
314.488.382-77, 201349260, Cole, Thomas, thomas.cole@jujubinha.com.br, Fri Aug  2 14:18:13 2013
257.589.270-48, 201285236, Montgomery, John, john.montgomery@jujubinha.com.br, Sat Jan 21 14:46:13 2012
793.857.122-22, 201779889, Green, Gloria, gloria.green@jujubinha.com.br, Sun Jun 25 21:24:18 2017
038.064.447-68, 201394436, Hills, Barbara, barbara.hills@jujubinha.com.br, Mon Jun  3 13:27:41 2013
063.357.895-13, 201191680, Vadasy, Doris, doris.vadasy@jujubinha.com.br, Wed Feb 16 20:31:49 2011
540.862.856-47, 201324163, Griffin, Lillian, lillian.griffin@jujubinha.com.br, Tue May 28 23:26:06 2013
802.183.506-95, 201134089, Nelson, John, john.nelson@jujubinha.com.br, Sat Jul 23 16:45:45 2011
379.496.271-43, 201461661, Burns, James, james.burns@jujubinha.com.br, Sat Jul  5 06:48:05 2014
798.680.240-85, 201372269, Neely, Ingrid, ingrid.neely@jujubinha.com.br, Sat Feb  2 11:13:19 2013
843.682.076-56, 201106095, Scroggs, Amanda, amanda.scroggs@jujubinha.com.br, Mon Apr 25 07:16:50 2011
406.819.239-56, 201518181, Anguiano, John, john.anguiano@jujubinha.com.br, Wed Aug  5 10:23:33 2015
469.421.559-40, 201362489, Miller, Kim, kim.miller@jujubinha.com.br, Fri Sep 27 19:39:40 2013
523.572.818-69, 201169005, Gajeski, Domingo, domingo.gajeski@jujubinha.com.br, Thu Oct 20 21:20:56 2011
500.408.420-03, 201489452, Charles, Robert, robert.charles@jujubinha.com.br, Sat Nov 29 22:55:44 2014
447.451.185-08, 201575382, Winn, James, james.winn@jujubinha.com.br, Fri Jul 24 17:02:29 2015
579.960.768-52, 201674100, Coronado, Clarence, clarence.coronado@jujubinha.com.br, Sat Jan  9 11:59:44 2016
661.958.864-51, 201293083, Willman, Charles, charles.willman@jujubinha.com.br, Sat Mar 17 10:14:54 2012
891.580.200-20, 201247209, Thomas, Ronald, ronald.thomas@jujubinha.com.br, Tue Jun 12 21:17:31 2012
715.293.011-74, 200918294, Aguayo, Tina, tina.aguayo@jujubinha.com.br, Sun Dec  6 15:32:31 2009
463.350.884-97, 201187389, Estrada, James, james.estrada@jujubinha.com.br, Fri Jul 29 09:38:16 2011
103.727.552-01, 201273259, Kim, Leona, leona.kim@jujubinha.com.br, Fri Feb 10 03:31:42 2012
395.103.191-68, 201216269, Stone, Alvin, alvin.stone@jujubinha.com.br, Fri Jul  6 20:53:33 2012
092.177.107-17, 201490428, Norris, Angela, angela.norris@jujubinha.com.br, Wed Apr  2 23:56:49 2014
019.439.431-09, 201256128, Singleton, Rachael, rachael.singleton@jujubinha.com.br, Tue Sep 11 14:31:05 2012
530.578.182-81, 201463574, Vanaman, Brian, brian.vanaman@jujubinha.com.br, Mon Jan 20 05:17:22 2014
732.675.789-43, 201183256, Decker, Suzanne, suzanne.decker@jujubinha.com.br, Wed Mar 30 11:10:04 2011
895.697.921-18, 201459937, Hernandez, Steven, steven.hernandez@jujubinha.com.br, Tue Sep  2 07:23:25 2014
298.581.593-27, 201227462, Rushing, Mary, mary.rushing@jujubinha.com.br, Sat Oct 27 13:21:05 2012
170.726.433-12, 201664862, Beavers, Judith, judith.beavers@jujubinha.com.br, Fri Dec 16 11:33:25 2016
431.234.740-32, 201398607, Sanez, Vena, vena.sanez@jujubinha.com.br, Tue Jul 30 04:58:29 2013
199.149.630-18, 201575974, Lewis, Michael, michael.lewis@jujubinha.com.br, Wed Sep 23 09:56:20 2015
630.458.457-82, 200805855, Mast, Tyrone, tyrone.mast@jujubinha.com.br, Tue Oct  7 03:03:48 2008
625.471.220-06, 201206916, Cash, Alicia, alicia.cash@jujubinha.com.br, Mon Aug  6 23:23:30 2012
648.015.991-48, 201115168, Navarro, Mary, mary.navarro@jujubinha.com.br, Thu Feb 17 02:02:37 2011
516.105.683-53, 201040340, Yarberry, Rodolfo, rodolfo.yarberry@jujubinha.com.br, Tue May 18 02:56:28 2010
701.425.272-39, 201536340, Delgado, Beatrice, beatrice.delgado@jujubinha.com.br, Thu Dec 10 23:04:37 2015
152.961.199-82, 201547990, Mulvihill, Lynn, lynn.mulvihill@jujubinha.com.br, Thu Apr 16 12:45:58 2015
619.088.608-92, 201665925, Murillo, Danica, danica.murillo@jujubinha.com.br, Sat Mar 12 00:50:52 2016
985.949.856-79, 201284503, Anglin, Edward, edward.anglin@jujubinha.com.br, Tue Dec 25 17:51:20 2012
994.425.321-95, 201430622, Lusk, Marsha, marsha.lusk@jujubinha.com.br, Fri May 23 08:22:35 2014
344.665.817-47, 201510594, Heidrick, Amy, amy.heidrick@jujubinha.com.br, Mon Jan 26 13:42:57 2015
992.206.503-73, 200899836, Ochwat, James, james.ochwat@jujubinha.com.br, Sat Jun 14 12:12:21 2008
563.570.492-76, 201190247, Gregory, Harvey, harvey.gregory@jujubinha.com.br, Wed Mar 23 15:48:51 2011
448.964.022-70, 200990714, Shaw, Adam, adam.shaw@jujubinha.com.br, Wed Jul 15 19:10:31 2009
188.684.844-56, 201047119, Stuble, Brenda, brenda.stuble@jujubinha.com.br, Sat Jan 23 01:54:50 2010
310.410.424-38, 201642893, Logsdon, Mary, mary.logsdon@jujubinha.com.br, Sat Apr 16 12:28:11 2016
652.554.066-61, 201391050, Ma, Esther, esther.ma@jujubinha.com.br, Tue Mar 26 09:39:00 2013
420.669.262-98, 200981419, Hart, John, john.hart@jujubinha.com.br, Fri Dec 25 13:09:30 2009
659.378.251-58, 200969449, Fuentes, Jacquelynn, jacquelynn.fuentes@jujubinha.com.br, Sat Mar 14 11:12:06 2009
526.194.649-78, 201077675, Yoo, Laurie, laurie.yoo@jujubinha.com.br, Fri Dec 24 06:36:24 2010
260.307.635-39, 201410707, Morales, Christopher, christopher.morales@jujubinha.com.br, Wed Dec 10 16:04:37 2014
114.947.339-89, 201655951, Andrews, Bertha, bertha.andrews@jujubinha.com.br, Mon Aug 29 00:33:04 2016
374.902.773-40, 201627833, Elizondo, Ray, ray.elizondo@jujubinha.com.br, Mon Mar 21 00:41:27 2016
342.574.730-03, 201312342, Opp, Fredrick, fredrick.opp@jujubinha.com.br, Tue Aug  6 11:15:28 2013
159.429.119-56, 201673531, Murray, Edward, edward.murray@jujubinha.com.br, Sat Mar 19 15:32:49 2016
256.806.711-95, 201715191, Borke, James, james.borke@jujubinha.com.br, Tue Jan 24 12:14:14 2017
595.629.374-40, 201699486, Crouch, Micheal, micheal.crouch@jujubinha.com.br, Tue Aug  2 06:18:05 2016
552.898.522-53, 201258172, Jarrett, Tomas, tomas.jarrett@jujubinha.com.br, Fri Jun  1 08:29:28 2012
308.476.834-30, 201110532, Barger, Robert, robert.barger@jujubinha.com.br, Tue Jun 14 14:23:12 2011
468.191.304-50, 201481969, West, Gary, gary.west@jujubinha.com.br, Mon May 19 01:40:15 2014
888.450.716-68, 200813342, Eaton, Edna, edna.eaton@jujubinha.com.br, Tue Oct 28 12:05:05 2008
942.889.068-53, 200904058, Jeans, John, john.jeans@jujubinha.com.br, Sat Sep  5 20:16:19 2009
628.249.538-39, 201178764, Cowett, Timothy, timothy.cowett@jujubinha.com.br, Wed Jan 26 16:10:00 2011
902.792.176-45, 201514816, Osborne, Debbie, debbie.osborne@jujubinha.com.br, Thu Sep 17 22:23:11 2015
012.917.444-99, 201443730, Kellum, Samuel, samuel.kellum@jujubinha.com.br, Wed Jun 25 06:54:06 2014
431.864.796-93, 201437043, Barnes, Digna, digna.barnes@jujubinha.com.br, Tue Feb 11 10:32:19 2014
683.252.243-18, 201351627, Williams, Jason, jason.williams@jujubinha.com.br, Thu Jan 10 18:14:36 2013
669.163.350-34, 201538286, Dvorak, Kevin, kevin.dvorak@jujubinha.com.br, Fri Dec 11 19:18:39 2015
804.614.248-83, 201677005, Mcfolley, Alan, alan.mcfolley@jujubinha.com.br, Tue Dec 20 01:50:29 2016
528.772.254-11, 201182856, Barr, Arthur, arthur.barr@jujubinha.com.br, Fri Jan 21 06:17:29 2011
950.962.969-05, 201213850, Livings, Judy, judy.livings@jujubinha.com.br, Thu Apr 12 23:30:53 2012
841.270.161-78, 201212961, Moore, Chris, chris.moore@jujubinha.com.br, Sat Dec 15 10:03:30 2012
186.505.536-36, 201183337, Lukas, Deborah, deborah.lukas@jujubinha.com.br, Sat Jul  9 20:17:00 2011
499.924.004-62, 200883817, Martin, Robert, robert.martin@jujubinha.com.br, Wed Dec  3 18:52:48 2008
629.935.457-62, 201404865, Agnew, Mike, mike.agnew@jujubinha.com.br, Thu May 15 07:54:45 2014
083.551.156-43, 201004265, Garza, Raymond, raymond.garza@jujubinha.com.br, Sat Feb 27 16:04:29 2010
168.885.281-15, 201114244, Kyseth, Nicole, nicole.kyseth@jujubinha.com.br, Mon Jul  4 03:37:46 2011
433.531.351-87, 200885250, Reynolds, Mary, mary.reynolds@jujubinha.com.br, Sat May 24 03:37:30 2008
631.199.638-77, 200966685, Greve, Marvin, marvin.greve@jujubinha.com.br, Thu Mar 19 19:41:20 2009
227.189.244-25, 201392128, Calisto, Johnathan, johnathan.calisto@jujubinha.com.br, Sat Jun 29 16:13:06 2013
999.257.208-49, 201512702, Darley, Shannon, shannon.darley@jujubinha.com.br, Sun Mar 22 14:06:43 2015
483.730.165-34, 201559384, Terry, Mark, mark.terry@jujubinha.com.br, Fri Dec  4 18:50:08 2015
368.182.529-57, 201527371, Forrest, Rachel, rachel.forrest@jujubinha.com.br, Sat May  2 22:26:36 2015
180.850.368-26, 201382025, Yates, Jeffrey, jeffrey.yates@jujubinha.com.br, Tue Apr 30 07:22:28 2013
680.530.057-79, 201194905, Wiggins, Anne, anne.wiggins@jujubinha.com.br, Wed Feb  2 01:42:20 2011
917.586.146-56, 201075644, Olson, Nola, nola.olson@jujubinha.com.br, Sat Sep  4 12:22:08 2010
993.090.682-49, 201600870, Forte, John, john.forte@jujubinha.com.br, Wed Apr 27 04:42:19 2016
850.007.634-30, 201062164, Crowder, Catherine, catherine.crowder@jujubinha.com.br, Fri Dec 24 20:28:43 2010
082.702.604-52, 201409499, Tripp, Jan, jan.tripp@jujubinha.com.br, Mon Aug 11 16:58:05 2014
046.480.016-05, 201520649, Heinz, Katherine, katherine.heinz@jujubinha.com.br, Mon Feb 16 16:11:10 2015
562.841.533-58, 201355327, Harvey, Susan, susan.harvey@jujubinha.com.br, Mon Apr 15 17:49:07 2013
000.579.464-41, 201429528, Irvin, Anna, anna.irvin@jujubinha.com.br, Sun Aug 24 15:48:51 2014
323.162.766-02, 201059252, Sharp, Christine, christine.sharp@jujubinha.com.br, Fri Dec 24 00:23:08 2010
040.594.742-92, 201094606, Nixon, Joshua, joshua.nixon@jujubinha.com.br, Fri Feb  5 08:10:06 2010
868.504.961-62, 200822928, Espinosa, Anna, anna.espinosa@jujubinha.com.br, Tue Sep 23 20:17:25 2008
568.770.403-48, 200832006, Burnett, Tim, tim.burnett@jujubinha.com.br, Mon Dec  1 03:26:29 2008
930.567.922-89, 201213981, Patterson, Carmelo, carmelo.patterson@jujubinha.com.br, Wed Aug  1 23:53:33 2012
818.222.265-96, 200980531, Winters, Lina, lina.winters@jujubinha.com.br, Sun Apr 12 22:59:34 2009
232.680.693-90, 201329146, Mahoney, Melinda, melinda.mahoney@jujubinha.com.br, Fri Mar  1 15:29:58 2013
026.680.160-34, 201290781, Martin, Deborah, deborah.martin@jujubinha.com.br, Mon Jan  2 12:26:42 2012
980.395.329-32, 201317782, Blok, Stanley, stanley.blok@jujubinha.com.br, Tue Jan 29 10:27:24 2013
887.725.797-57, 201385445, Rilley, Vicky, vicky.rilley@jujubinha.com.br, Mon Oct 21 18:19:52 2013
207.601.436-56, 201349055, Gautier, Nancy, nancy.gautier@jujubinha.com.br, Sun Jan 20 03:54:37 2013
462.808.327-68, 201572918, Marrow, Regina, regina.marrow@jujubinha.com.br, Tue Jun 16 19:35:37 2015
111.002.037-82, 201224715, Mcnorton, Eric, eric.mcnorton@jujubinha.com.br, Wed Jan 18 11:35:12 2012
163.998.349-96, 200822629, Colvin, Joe, joe.colvin@jujubinha.com.br, Wed Feb 13 02:27:56 2008
811.374.541-80, 201162519, Marshall, Lily, lily.marshall@jujubinha.com.br, Sat Apr 16 00:32:05 2011
236.538.276-52, 201036354, Ball, Roger, roger.ball@jujubinha.com.br, Fri Aug 13 09:02:37 2010
830.893.004-05, 200837202, Varela, Garrett, garrett.varela@jujubinha.com.br, Mon Aug 18 04:17:09 2008
251.782.549-04, 201221904, Corbett, Elvina, elvina.corbett@jujubinha.com.br, Wed Oct 17 07:51:29 2012
626.266.543-33, 201755398, Morris, Lee, lee.morris@jujubinha.com.br, Sun Jun  4 08:44:09 2017
585.076.003-46, 201219423, Andrews, Dorothy, dorothy.andrews@jujubinha.com.br, Fri Aug  3 14:45:16 2012
032.079.499-08, 201018130, Gagliardi, Erik, erik.gagliardi@jujubinha.com.br, Fri May 21 21:56:39 2010
976.212.748-13, 201116586, Meadows, Kenneth, kenneth.meadows@jujubinha.com.br, Fri Jan 21 14:51:58 2011
800.839.449-13, 200827431, Mckenney, Mitchell, mitchell.mckenney@jujubinha.com.br, Thu Jul  3 20:33:04 2008
341.627.668-85, 201716457, Chesley, Bridgette, bridgette.chesley@jujubinha.com.br, Mon Jun  5 15:07:33 2017
921.946.420-50, 201465390, Baker, Michael, michael.baker@jujubinha.com.br, Tue Oct 28 09:01:21 2014
667.893.004-61, 200862917, Ariel, Adela, adela.ariel@jujubinha.com.br, Sat Mar 29 17:45:01 2008
679.414.250-45, 201266569, Douglas, Ruby, ruby.douglas@jujubinha.com.br, Wed Nov  7 10:18:49 2012
425.523.013-20, 201520828, Schlicht, Juana, juana.schlicht@jujubinha.com.br, Mon Sep  7 15:45:22 2015
001.176.222-84, 201091064, Wilson, Glen, glen.wilson@jujubinha.com.br, Sat Nov  6 15:49:07 2010
165.800.918-55, 201350839, Jose, Sean, sean.jose@jujubinha.com.br, Mon Jul  8 07:01:55 2013
911.843.781-94, 201777221, Simcoe, Susan, susan.simcoe@jujubinha.com.br, Mon Apr 24 02:14:45 2017
987.244.558-06, 201797036, Tullis, George, george.tullis@jujubinha.com.br, Tue May 30 16:47:32 2017
029.960.193-73, 200865560, Carr, Leon, leon.carr@jujubinha.com.br, Fri Apr 11 21:17:59 2008
458.791.988-69, 200806886, Mcgrath, Crystal, crystal.mcgrath@jujubinha.com.br, Tue Apr  8 02:15:55 2008
262.285.348-53, 201150360, Crow, Kenya, kenya.crow@jujubinha.com.br, Fri Jan 21 08:25:39 2011
712.199.171-73, 201051433, Fowlkes, Tamara, tamara.fowlkes@jujubinha.com.br, Sun Nov 14 07:59:50 2010
835.930.020-23, 201010306, Earle, Kathy, kathy.earle@jujubinha.com.br, Wed Dec  8 17:26:47 2010
263.251.093-79, 201386116, Morales, Marvin, marvin.morales@jujubinha.com.br, Fri Dec 20 05:53:19 2013
239.876.411-05, 200970200, Fisher, Nicole, nicole.fisher@jujubinha.com.br, Mon Jan  5 06:35:38 2009
985.664.149-21, 200905629, Hadden, Pearl, pearl.hadden@jujubinha.com.br, Sun Mar 29 04:46:54 2009
884.509.333-75, 201304212, Jackson, Rosa, rosa.jackson@jujubinha.com.br, Fri Nov 22 18:15:23 2013
187.195.543-11, 201361882, Pritt, Maxine, maxine.pritt@jujubinha.com.br, Tue Feb 19 07:44:52 2013
814.144.612-64, 200942919, Scowden, Corinna, corinna.scowden@jujubinha.com.br, Thu May 28 06:45:28 2009
972.224.132-45, 201274315, Ramirez, Yolanda, yolanda.ramirez@jujubinha.com.br, Thu Feb 23 20:26:51 2012
787.420.856-78, 200936142, Isaac, Aaron, aaron.isaac@jujubinha.com.br, Wed Jul 29 21:00:05 2009
637.407.270-74, 201459719, Hickman, Eddie, eddie.hickman@jujubinha.com.br, Tue Nov 25 18:12:01 2014
965.555.047-84, 201267559, Fry, Donald, donald.fry@jujubinha.com.br, Wed May 16 04:52:09 2012
685.239.673-79, 201515876, Settles, April, april.settles@jujubinha.com.br, Thu Aug 20 07:18:51 2015
093.406.570-74, 201615731, Rector, Irene, irene.rector@jujubinha.com.br, Sat Jun 18 20:17:46 2016
304.148.013-37, 201677535, Castellanos, Jorge, jorge.castellanos@jujubinha.com.br, Sun May 15 19:36:49 2016
492.147.638-68, 201536252, Danner, Felicia, felicia.danner@jujubinha.com.br, Fri Aug 14 13:54:36 2015
775.943.649-10, 201537476, Maldonado, Angel, angel.maldonado@jujubinha.com.br, Fri Oct 23 02:38:08 2015
404.920.453-11, 200823675, Camacho, James, james.camacho@jujubinha.com.br, Fri Jun 20 13:39:49 2008
992.459.817-27, 201090219, Lawler, Janet, janet.lawler@jujubinha.com.br, Mon Oct 18 11:48:11 2010
186.498.492-41, 201363696, Wright, Sara, sara.wright@jujubinha.com.br, Fri Jul 19 11:24:21 2013
125.252.998-55, 201618767, Lyon, Fredrick, fredrick.lyon@jujubinha.com.br, Thu Oct 20 18:18:43 2016
621.869.816-44, 201024948, Johnson, Susan, susan.johnson@jujubinha.com.br, Sat Jul 31 15:55:55 2010
785.614.635-65, 201322050, Brewton, Patrick, patrick.brewton@jujubinha.com.br, Mon May 20 15:56:03 2013
713.667.751-09, 201715131, Brandon, Gary, gary.brandon@jujubinha.com.br, Tue Feb 21 08:43:42 2017
080.463.322-01, 200973211, Webb, Arthur, arthur.webb@jujubinha.com.br, Wed May  6 09:14:23 2009
489.599.360-35, 201732982, Dicarlo, William, william.dicarlo@jujubinha.com.br, Sat Mar 18 03:37:04 2017
934.679.021-19, 201300616, Coulson, Gerald, gerald.coulson@jujubinha.com.br, Fri Dec  6 06:18:43 2013
084.814.210-68, 201301825, Bergstrom, Carlene, carlene.bergstrom@jujubinha.com.br, Tue Apr 30 23:55:29 2013
580.662.004-38, 201408018, Galindo, Lucille, lucille.galindo@jujubinha.com.br, Tue Jun 10 16:39:33 2014
285.599.613-21, 201636825, Campbell, Mary, mary.campbell@jujubinha.com.br, Tue Apr  5 10:16:04 2016
088.677.269-60, 201123330, Gonzalez, Dennis, dennis.gonzalez@jujubinha.com.br, Sun May  1 10:08:57 2011
990.518.845-33, 201784287, Webster, George, george.webster@jujubinha.com.br, Thu Feb  9 02:14:02 2017
691.048.136-62, 201061717, Henry, Ruth, ruth.henry@jujubinha.com.br, Sat Sep 25 03:39:14 2010
539.107.966-26, 201468221, Harwood, Lester, lester.harwood@jujubinha.com.br, Sun Feb 23 19:01:47 2014
478.864.852-81, 201585372, Meyer, Kenneth, kenneth.meyer@jujubinha.com.br, Sun Oct 25 03:33:00 2015
662.358.290-56, 201517959, Schneider, Alphonso, alphonso.schneider@jujubinha.com.br, Wed Mar 18 01:33:12 2015
053.118.769-24, 201615602, Bissonnette, Lynn, lynn.bissonnette@jujubinha.com.br, Sun Sep 11 20:11:18 2016
328.285.175-86, 201447746, Beck, Adrian, adrian.beck@jujubinha.com.br, Mon Dec 22 23:39:18 2014
679.476.572-92, 201556168, Parker, Maureen, maureen.parker@jujubinha.com.br, Mon Jul  6 10:28:51 2015
198.294.728-54, 201603371, Butler, Lillian, lillian.butler@jujubinha.com.br, Sat Jul 16 14:03:12 2016
648.601.494-94, 201616263, Vega, Eric, eric.vega@jujubinha.com.br, Sun Jun 26 18:09:18 2016
714.181.263-44, 200943218, Taggart, Robert, robert.taggart@jujubinha.com.br, Tue Nov 24 08:03:29 2009
374.615.174-30, 201741085, Aitken, James, james.aitken@jujubinha.com.br, Tue May 23 13:58:50 2017
398.836.528-94, 201317310, Davis, Mary, mary.davis@jujubinha.com.br, Mon May  6 14:20:54 2013
417.201.776-11, 201141115, Carpenter, Estelle, estelle.carpenter@jujubinha.com.br, Tue Apr 26 14:38:59 2011
154.427.925-52, 200851999, Marshall, Jennifer, jennifer.marshall@jujubinha.com.br, Sun Oct  5 19:21:30 2008
373.083.103-30, 201643041, Brock, Ashley, ashley.brock@jujubinha.com.br, Mon Jan 11 01:26:16 2016
046.164.914-57, 200909756, Gomez, Kevin, kevin.gomez@jujubinha.com.br, Sat Nov 14 01:14:37 2009
882.340.069-15, 201460883, Halford, Marisol, marisol.halford@jujubinha.com.br, Fri May  2 08:37:49 2014
206.330.553-74, 201402010, Mayer, Randy, randy.mayer@jujubinha.com.br, Sat Sep  6 00:43:40 2014
781.031.017-25, 201048680, Gaytan, Gary, gary.gaytan@jujubinha.com.br, Thu Feb 11 19:17:46 2010
808.679.981-08, 201381846, Beckett, Ana, ana.beckett@jujubinha.com.br, Tue Sep 17 05:58:58 2013
627.414.286-75, 200816351, Knox, Donald, donald.knox@jujubinha.com.br, Thu May 15 21:48:33 2008
970.038.520-73, 200824121, Pettit, Paul, paul.pettit@jujubinha.com.br, Sun Nov  2 08:17:02 2008
